x,y,z,v
13,13,0,-7.497
13,14,0,-7.618
14,0,0,1.836
14,1,0,-11.399
14,2,0,-11.855
14,3,0,-13.236
14,4,0,-4.659
14,5,0,6.817
14,6,0,0.021
14,7,0,-9.894
14,8,0,0.287
14,9,0,3.916
14,10,0,3.732
14,11,0,-8.622
14,12,0,-13.596
14,13,0,-5.574
14,14,0,-4.439
0,0,1,-11.442
0,1,1,-12.794
0,2,1,5.977
0,3,1,1.761
0,4,1,-7.794
0,5,1,-10.948
0,6,1,-4.770
0,7,1,0.199
0,8,1,9.277
0,9,1,8.210
0,10,1,6.683
0,11,1,5.633
0,12,1,-5.184
0,13,1,-12.313
0,14,1,-8.737
1,0,1,7.801
1,1,1,1.097
1,2,1,9.160
1,3,1,3.081
1,4,1,4.794
1,5,1,9.393
1,6,1,2.668
1,7,1,-8.875
1,8,1,-4.946
1,9,1,-5.777
1,10,1,-9.466
1,11,1,7.886
1,12,1,-12.324
1,13,1,-10.378
1,14,1,9.531
2,0,1,1.526
2,1,1,-8.315
2,2,1,-13.288
2,3,1,0.623
2,4,1,-8.221
2,5,1,-5.832
2,6,1,-5.950
2,7,1,-3.769
2,8,1,3.997
2,9,1,-4.525
2,10,1,8.889
2,11,1,-11.459
2,12,1,8.985
2,13,1,-6.363
2,14,1,-9.132
3,0,1,8.512
3,1,1,-9.555
3,2,1,0.017
3,3,1,-4.087
3,4,1,8.113
3,5,1,-4.560
3,6,1,-13.034
3,7,1,-4.578
3,8,1,1.985
3,9,1,3.186
3,10,1,5.283
3,11,1,4.260
3,12,1,-6.782
3,13,1,-10.345
3,14,1,-5.702
4,0,1,-12.911
4,1,1,8.373
4,2,1,-11.562
4,3,1,-12.440
4,4,1,-12.838
4,5,1,-7.419
4,6,1,-10.620
4,7,1,7.274
4,8,1,4.697
4,9,1,-4.171
4,10,1,-5.631
4,11,1,-13.272
4,12,1,-8.012
4,13,1,-7.973
4,14,1,-6.265
5,0,1,7.686
5,1,1,8.774
5,2,1,-3.955
5,3,1,-0.118
5,4,1,-9.637
5,5,1,-4.251
5,6,1,-8.557
5,7,1,-0.180
5,8,1,-5.904
5,9,1,9.370
5,10,1,-8.284
5,11,1,-5.159
5,12,1,9.331
5,13,1,1.705
5,14,1,4.616
6,0,1,6.658
6,1,1,-5.808
6,2,1,6.430
6,3,1,-10.766
6,4,1,-4.436
6,5,1,-3.722
6,6,1,-4.732
6,7,1,2.831
6,8,1,1.458
6,9,1,0.061
6,10,1,3.519
6,11,1,-7.390
6,12,1,9.224
6,13,1,-4.580
6,14,1,-12.736
7,0,1,-5.932
7,1,1,-10.616
7,2,1,4.766
7,3,1,5.244
7,4,1,-4.306
7,5,1,-11.437
7,6,1,4.366
7,7,1,-9.057
7,8,1,5.843
7,9,1,-12.886
7,10,1,5.553
7,11,1,5.281
7,12,1,-7.252
7,13,1,8.572
7,14,1,9.070
8,0,1,9.196
8,1,1,-12.343
8,2,1,-13.225
8,3,1,-0.358
8,4,1,7.299
8,5,1,-4.976
8,6,1,7.148
8,7,1,-4.888
8,8,1,-6.322
8,9,1,-7.343
8,10,1,8.592
8,11,1,-13.027
8,12,1,-11.748
8,13,1,6.461
8,14,1,-12.726
9,0,1,-9.647
9,1,1,6.250
9,2,1,0.212
9,3,1,-11.239
9,4,1,-10.353
9,5,1,7.689
9,6,1,-10.751
9,7,1,-6.955
9,8,1,-3.575
9,9,1,-12.347
9,10,1,9.158
9,11,1,-9.792
9,12,1,-9.079
9,13,1,4.685
9,14,1,-10.669
10,0,1,5.570
10,1,1,7.227
10,2,1,-8.909
10,3,1,-13.266
10,4,1,-6.910
10,5,1,-11.739
10,6,1,1.212
10,7,1,-10.405
10,8,1,4.741
10,9,1,6.400
10,10,1,0.256
10,11,1,-10.913
10,12,1,8.478
10,13,1,-6.359
10,14,1,-9.849
11,0,1,-6.238
11,1,1,1.246
11,2,1,1.342
11,3,1,-0.093
11,4,1,-10.096
11,5,1,-11.311
11,6,1,-3.870
11,7,1,3.860
11,8,1,5.044
11,9,1,-11.161
11,10,1,-4.096
11,11,1,-6.394
11,12,1,-11.702
11,13,1,5.268
11,14,1,-3.606
12,0,1,-4.813
12,1,1,7.037
12,2,1,0.728
12,3,1,3.876
12,4,1,-3.763
12,5,1,4.422
12,6,1,-13.179
12,7,1,-4.131
12,8,1,6.176
12,9,1,-9.595
12,10,1,-5.895
12,11,1,-6.854
12,12,1,6.326
12,13,1,9.497
12,14,1,4.051
13,0,1,-10.509
13,1,1,2.365
13,2,1,-13.022
13,3,1,7.471
13,4,1,5.689
13,5,1,-4.902
13,6,1,-5.558
13,7,1,4.311
13,8,1,3.900
13,9,1,-6.350
13,10,1,8.803
13,11,1,-13.214
13,12,1,-7.797
13,13,1,-6.730
13,14,1,-8.072
14,0,1,1.977
14,1,1,-10.485
14,2,1,-0.335
14,3,1,-6.659
14,4,1,-6.497
14,5,1,-6.576
14,6,1,-13.457
14,7,1,-4.008
14,8,1,1.560
14,9,1,-8.956
14,10,1,-4.494
14,11,1,-6.664
14,12,1,-3.862
14,13,1,-7.734
14,14,1,-4.210
0,0,2,0.465
0,1,2,7.103
0,2,2,4.147
0,3,2,-7.687
0,4,2,3.560
0,5,2,9.882
0,6,2,8.242
0,7,2,3.583
0,8,2,-10.722
0,9,2,2.921
0,10,2,-4.522
0,11,2,6.779
0,12,2,9.285
0,13,2,0.168
0,14,2,-11.359
1,0,2,-10.844
1,1,2,-5.924
1,2,2,4.889
1,3,2,-6.001
1,4,2,-12.837
1,5,2,-8.557
1,6,2,-4.774
1,7,2,-12.568
1,8,2,-4.336
1,9,2,1.732
1,10,2,5.949
1,11,2,5.520
1,12,2,6.651
1,13,2,-13.028
1,14,2,2.878
2,0,2,-11.059
2,1,2,3.766
2,2,2,-3.211
2,3,2,6.895
2,4,2,-12.477
2,5,2,9.585
2,6,2,-7.670
2,7,2,-12.665
2,8,2,-6.090
2,9,2,4.666
2,10,2,5.309
2,11,2,9.095
2,12,2,-12.019
2,13,2,4.333
2,14,2,-8.776
3,0,2,10.014
3,1,2,-8.856
3,2,2,-6.518
3,3,2,2.205
3,4,2,9.456
3,5,2,-9.904
3,6,2,6.008
3,7,2,5.000
3,8,2,-12.882
3,9,2,-8.993
3,10,2,2.142
3,11,2,4.358
3,12,2,-11.937
3,13,2,-6.672
3,14,2,-3.498
4,0,2,-13.138
4,1,2,8.520
4,2,2,-11.972
4,3,2,2.933
4,4,2,-11.984
4,5,2,6.082
4,6,2,-9.673
4,7,2,6.163
4,8,2,-12.917
4,9,2,-3.872
4,10,2,10.113
4,11,2,-8.047
4,12,2,-3.534
4,13,2,5.189
4,14,2,0.871
5,0,2,-3.700
5,1,2,5.116
5,2,2,7.159
5,3,2,1.110
5,4,2,-9.113
5,5,2,-9.538
5,6,2,5.446
5,7,2,-8.103
5,8,2,-5.241
5,9,2,-6.461
5,10,2,-8.533
5,11,2,8.540
5,12,2,-6.793
5,13,2,5.236
5,14,2,-5.549
6,0,2,-10.866
6,1,2,-6.318
6,2,2,-3.781
6,3,2,8.482
6,4,2,-10.303
6,5,2,-7.932
6,6,2,-9.615
6,7,2,2.783
6,8,2,2.056
6,9,2,-6.989
6,10,2,-12.267
6,11,2,1.193
6,12,2,4.732
6,13,2,9.252
6,14,2,-12.537
7,0,2,-4.827
7,1,2,-9.674
7,2,2,-12.275
7,3,2,-8.526
7,4,2,-10.664
7,5,2,-8.427
7,6,2,6.477
7,7,2,-10.357
7,8,2,-8.383
7,9,2,1.374
7,10,2,9.964
7,11,2,-4.188
7,12,2,-10.876
7,13,2,6.086
7,14,2,7.267
8,0,2,-5.364
8,1,2,-9.313
8,2,2,0.980
8,3,2,8.537
8,4,2,-4.968
8,5,2,7.213
8,6,2,4.069
8,7,2,9.020
8,8,2,9.007
8,9,2,-12.051
8,10,2,7.481
8,11,2,7.688
8,12,2,-10.731
8,13,2,8.346
8,14,2,6.351
9,0,2,-12.595
9,1,2,-9.026
9,2,2,-6.905
9,3,2,10.096
9,4,2,8.702
9,5,2,5.506
9,6,2,-7.323
9,7,2,-12.634
9,8,2,-9.186
9,9,2,8.697
9,10,2,-11.332
9,11,2,-7.303
9,12,2,2.252
9,13,2,-4.719
9,14,2,-5.956
10,0,2,3.987
10,1,2,3.558
10,2,2,9.088
10,3,2,8.158
10,4,2,2.349
10,5,2,-9.020
10,6,2,-11.614
10,7,2,6.928
10,8,2,1.087
10,9,2,-9.461
10,10,2,-10.232
10,11,2,-3.288
10,12,2,0.310
10,13,2,-4.811
10,14,2,-8.175
11,0,2,7.956
11,1,2,-10.880
11,2,2,-6.453
11,3,2,-8.379
11,4,2,-9.532
11,5,2,-10.336
11,6,2,1.658
11,7,2,-10.768
11,8,2,1.581
11,9,2,-12.152
11,10,2,-9.488
11,11,2,1.956
11,12,2,-11.400
11,13,2,0.806
11,14,2,-13.138
12,0,2,8.317
12,1,2,-6.808
12,2,2,-10.119
12,3,2,-9.173
12,4,2,7.907
12,5,2,2.894
12,6,2,-9.787
12,7,2,9.784
12,8,2,-11.349
12,9,2,-9.150
12,10,2,-10.225
12,11,2,-8.121
12,12,2,-4.726
12,13,2,-5.316
12,14,2,-11.921
13,0,2,2.264
13,1,2,-3.416
13,2,2,-12.769
13,3,2,-12.663
13,4,2,-10.604
13,5,2,2.328
13,6,2,-10.068
13,7,2,1.255
13,8,2,-6.928
13,9,2,6.931
13,10,2,-3.375
13,11,2,-5.403
13,12,2,-11.945
13,13,2,-7.695
13,14,2,-4.956
14,0,2,3.762
14,1,2,3.203
14,2,2,5.593
14,3,2,-12.639
14,4,2,-8.412
14,5,2,2.217
14,6,2,-9.952
14,7,2,0.175
14,8,2,1.589
14,9,2,-3.341
14,10,2,-11.141
14,11,2,4.807
14,12,2,-7.207
14,13,2,-10.482
14,14,2,9.797
0,0,3,10.479
0,1,3,-10.577
0,2,3,2.870
0,3,3,7.669
0,4,3,-4.643
0,5,3,-4.779
0,6,3,2.677
0,7,3,-12.535
0,8,3,-3.593
0,9,3,-11.022
0,10,3,1.176
0,11,3,-7.686
0,12,3,7.544
0,13,3,1.980
0,14,3,-5.114
1,0,3,-6.683
1,1,3,-4.139
1,2,3,-9.615
1,3,3,-3.135
1,4,3,3.803
1,5,3,-9.764
1,6,3,7.138
1,7,3,9.074
1,8,3,5.298
1,9,3,-11.539
1,10,3,7.311
1,11,3,-7.670
1,12,3,5.317
1,13,3,-3.808
1,14,3,-6.915
2,0,3,2.793
2,1,3,-6.959
2,2,3,1.588
2,3,3,6.993
2,4,3,-10.647
2,5,3,-9.693
2,6,3,-11.593
2,7,3,-4.897
2,8,3,-10.266
2,9,3,-6.962
2,10,3,7.805
2,11,3,-6.557
2,12,3,-3.050
2,13,3,6.541
2,14,3,5.814
3,0,3,-4.706
3,1,3,3.841
3,2,3,-6.671
3,3,3,-10.855
3,4,3,4.308
3,5,3,-11.227
3,6,3,-12.415
3,7,3,-8.071
3,8,3,8.892
3,9,3,8.627
3,10,3,4.259
3,11,3,-5.556
3,12,3,-3.936
3,13,3,-7.045
3,14,3,-12.014
4,0,3,10.107
4,1,3,-6.174
4,2,3,8.462
4,3,3,3.654
4,4,3,-8.922
4,5,3,-12.541
4,6,3,-8.496
4,7,3,-11.091
4,8,3,-4.684
4,9,3,-3.702
4,10,3,-12.073
4,11,3,5.016
4,12,3,-4.616
4,13,3,3.865
4,14,3,-6.644
5,0,3,-4.962
5,1,3,-7.549
5,2,3,2.730
5,3,3,-12.270
5,4,3,-3.696
5,5,3,-11.448
5,6,3,-4.098
5,7,3,1.019
5,8,3,-4.521
5,9,3,-4.642
5,10,3,3.422
5,11,3,-12.295
5,12,3,1.731
5,13,3,-4.735
5,14,3,8.495
6,0,3,-11.370
6,1,3,-4.420
6,2,3,9.601
6,3,3,-3.230
6,4,3,2.757
6,5,3,8.871
6,6,3,-8.414
6,7,3,-9.709
6,8,3,-5.314
6,9,3,-4.506
6,10,3,4.723
6,11,3,9.873
6,12,3,5.356
6,13,3,-12.129
6,14,3,9.004
7,0,3,-12.671
7,1,3,-3.611
7,2,3,-2.915
7,3,3,-10.298
7,4,3,-3.162
7,5,3,1.318
7,6,3,3.101
7,7,3,2.126
7,8,3,-10.059
7,9,3,-8.301
7,10,3,-8.896
7,11,3,-12.097
7,12,3,0.876
7,13,3,5.084
7,14,3,-6.528
8,0,3,-5.767
8,1,3,-10.216
8,2,3,7.464
8,3,3,7.714
8,4,3,1.409
8,5,3,-10.953
8,6,3,8.826
8,7,3,9.954
8,8,3,-11.659
8,9,3,1.825
8,10,3,-3.932
8,11,3,4.946
8,12,3,9.285
8,13,3,-8.581
8,14,3,7.604
9,0,3,2.667
9,1,3,-2.766
9,2,3,3.138
9,3,3,-5.217
9,4,3,0.927
9,5,3,-12.380
9,6,3,-5.869
9,7,3,-8.422
9,8,3,-9.702
9,9,3,10.412
9,10,3,1.901
9,11,3,3.813
9,12,3,-4.651
9,13,3,-10.388
9,14,3,6.025
10,0,3,6.832
10,1,3,4.067
10,2,3,-5.060
10,3,3,-8.493
10,4,3,-3.352
10,5,3,7.701
10,6,3,5.321
10,7,3,10.112
10,8,3,1.786
10,9,3,-4.490
10,10,3,-12.522
10,11,3,6.166
10,12,3,-11.730
10,13,3,-11.232
10,14,3,-6.520
11,0,3,5.558
11,1,3,-8.861
11,2,3,6.434
11,3,3,-8.722
11,4,3,3.976
11,5,3,0.859
11,6,3,7.049
11,7,3,-3.561
11,8,3,8.966
11,9,3,-9.727
11,10,3,-11.289
11,11,3,-5.296
11,12,3,-3.547
11,13,3,7.105
11,14,3,3.973
12,0,3,-8.506
12,1,3,7.749
12,2,3,5.774
12,3,3,-8.215
12,4,3,8.246
12,5,3,-8.697
12,6,3,0.763
12,7,3,-5.034
12,8,3,7.694
12,9,3,1.913
12,10,3,-11.994
12,11,3,6.347
12,12,3,-8.053
12,13,3,-4.817
12,14,3,-5.761
13,0,3,-5.971
13,1,3,2.405
13,2,3,-12.301
13,3,3,-2.714
13,4,3,5.217
13,5,3,-7.091
13,6,3,-9.133
13,7,3,9.548
13,8,3,5.964
13,9,3,1.483
13,10,3,-12.562
13,11,3,-4.891
13,12,3,5.807
13,13,3,-3.150
13,14,3,-3.162
14,0,3,1.965
14,1,3,6.214
14,2,3,6.773
14,3,3,7.810
14,4,3,7.245
14,5,3,-12.372
14,6,3,-4.513
14,7,3,-3.200
14,8,3,-3.831
14,9,3,-3.334
14,10,3,-9.513
14,11,3,9.725
14,12,3,-10.447
14,13,3,7.748
14,14,3,-6.769
0,0,4,10.271
0,1,4,8.545
0,2,4,-3.715
0,3,4,-7.961
0,4,4,10.510
0,5,4,-3.817
0,6,4,2.817
0,7,4,-9.723
0,8,4,6.529
0,9,4,2.833
0,10,4,10.045
0,11,4,-5.385
0,12,4,11.217
0,13,4,-3.244
0,14,4,-12.051
1,0,4,-7.387
1,1,4,-8.234
1,2,4,-7.614
1,3,4,5.889
1,4,4,6.110
1,5,4,6.597
1,6,4,10.014
1,7,4,-11.761
1,8,4,11.169
1,9,4,10.381
1,10,4,3.300
1,11,4,-5.329
1,12,4,9.902
1,13,4,-8.545
1,14,4,2.653
2,0,4,9.597
2,1,4,-7.054
2,2,4,-2.872
2,3,4,4.589
2,4,4,7.566
2,5,4,-7.312
2,6,4,-11.233
2,7,4,-12.245
2,8,4,1.772
2,9,4,-11.507
2,10,4,-6.423
2,11,4,-3.696
2,12,4,7.537
2,13,4,10.401
2,14,4,8.419
3,0,4,9.821
3,1,4,9.361
3,2,4,4.060
3,3,4,-11.285
3,4,4,-8.338
3,5,4,-5.281
3,6,4,-5.133
3,7,4,-11.019
3,8,4,6.607
3,9,4,5.423
3,10,4,-3.881
3,11,4,-10.608
3,12,4,-8.965
3,13,4,-6.063
3,14,4,-9.652
4,0,4,-8.939
4,1,4,7.031
4,2,4,-3.860
4,3,4,-9.413
4,4,4,-7.984
4,5,4,-5.449
4,6,4,-8.814
4,7,4,2.994
4,8,4,2.458
4,9,4,-8.056
4,10,4,-3.743
4,11,4,-2.952
4,12,4,-3.247
4,13,4,3.058
4,14,4,-11.573
5,0,4,1.357
5,1,4,-5.470
5,2,4,2.700
5,3,4,-9.388
5,4,4,7.717
5,5,4,-2.937
5,6,4,6.628
5,7,4,4.042
5,8,4,-9.571
5,9,4,-10.682
5,10,4,7.084
5,11,4,3.501
5,12,4,-4.375
5,13,4,5.391
5,14,4,9.067
6,0,4,7.485
6,1,4,-8.419
6,2,4,-8.093
6,3,4,-8.111
6,4,4,-2.597
6,5,4,-5.771
6,6,4,-6.988
6,7,4,4.119
6,8,4,6.100
6,9,4,6.170
6,10,4,2.273
6,11,4,3.882
6,12,4,1.335
6,13,4,-4.550
6,14,4,1.824
7,0,4,2.889
7,1,4,-9.040
7,2,4,9.149
7,3,4,1.636
7,4,4,-9.268
7,5,4,9.165
7,6,4,3.391
7,7,4,1.309
7,8,4,1.847
7,9,4,4.754
7,10,4,-9.914
7,11,4,-10.621
7,12,4,9.521
7,13,4,-4.321
7,14,4,-4.391
8,0,4,10.390
8,1,4,9.655
8,2,4,2.281
8,3,4,4.951
8,4,4,2.842
8,5,4,-7.767
8,6,4,-2.600
8,7,4,4.462
8,8,4,7.568
8,9,4,-9.446
8,10,4,4.571
8,11,4,7.396
8,12,4,9.929
8,13,4,-9.913
8,14,4,-2.767
9,0,4,-4.152
9,1,4,-12.145
9,2,4,-8.959
9,3,4,-9.108
9,4,4,-4.681
9,5,4,3.530
9,6,4,8.713
9,7,4,4.072
9,8,4,8.913
9,9,4,-3.842
9,10,4,5.842
9,11,4,10.153
9,12,4,-3.176
9,13,4,11.109
9,14,4,-7.106
10,0,4,-10.570
10,1,4,10.244
10,2,4,-6.275
10,3,4,1.557
10,4,4,7.034
10,5,4,-9.704
10,6,4,9.895
10,7,4,-3.671
10,8,4,-5.564
10,9,4,-5.567
10,10,4,3.416
10,11,4,-11.787
10,12,4,7.589
10,13,4,5.777
10,14,4,4.588
11,0,4,9.958
11,1,4,-6.899
11,2,4,-3.764
11,3,4,6.615
11,4,4,-2.395
11,5,4,-3.181
11,6,4,-9.364
11,7,4,-4.019
11,8,4,-4.692
11,9,4,-8.394
11,10,4,-2.926
11,11,4,-6.708
11,12,4,8.108
11,13,4,-2.464
11,14,4,-3.339
12,0,4,-10.372
12,1,4,-6.313
12,2,4,-10.435
12,3,4,2.854
12,4,4,10.753
12,5,4,-11.984
12,6,4,3.845
12,7,4,11.164
12,8,4,-3.836
12,9,4,10.959
12,10,4,5.134
12,11,4,-10.513
12,12,4,5.254
12,13,4,-3.005
12,14,4,6.523
13,0,4,2.463
13,1,4,2.320
13,2,4,2.514
13,3,4,9.378
13,4,4,-9.763
13,5,4,-8.609
13,6,4,-6.104
13,7,4,8.196
13,8,4,1.700
13,9,4,-9.889
13,10,4,3.377
13,11,4,8.778
13,12,4,-10.912
13,13,4,-6.633
13,14,4,8.278
14,0,4,7.834
14,1,4,5.865
14,2,4,-11.122
14,3,4,-6.586
14,4,4,-2.729
14,5,4,3.207
14,6,4,3.540
14,7,4,7.606
14,8,4,-7.024
14,9,4,-10.271
14,10,4,-8.160
14,11,4,-4.820
14,12,4,-12.243
14,13,4,-9.974
14,14,4,-3.835
0,0,5,-11.467
0,1,5,-2.392
0,2,5,-7.631
0,3,5,-9.175
0,4,5,5.073
0,5,5,-5.676
0,6,5,2.247
0,7,5,4.831
0,8,5,9.150
0,9,5,-2.848
0,10,5,10.743
0,11,5,3.752
0,12,5,10.734
0,13,5,11.501
0,14,5,6.899
1,0,5,-9.429
1,1,5,9.359
1,2,5,-10.746
1,3,5,4.848
1,4,5,-10.891
1,5,5,-3.118
1,6,5,8.521
1,7,5,6.996
1,8,5,-9.397
1,9,5,11.518
1,10,5,-3.892
1,11,5,4.058
1,12,5,-4.834
1,13,5,5.420
1,14,5,10.403
2,0,5,5.682
2,1,5,-2.027
2,2,5,3.946
2,3,5,3.228
2,4,5,-5.447
2,5,5,2.272
2,6,5,-2.426
2,7,5,5.183
2,8,5,-4.219
2,9,5,7.804
2,10,5,9.088
2,11,5,-5.733
2,12,5,5.793
2,13,5,3.302
2,14,5,11.623
3,0,5,8.350
3,1,5,9.443
3,2,5,4.686
3,3,5,5.928
3,4,5,-11.644
3,5,5,4.444
3,6,5,8.637
3,7,5,-10.317
3,8,5,-8.554
3,9,5,11.003
3,10,5,10.730
3,11,5,-7.306
3,12,5,-7.819
3,13,5,-11.429
3,14,5,-2.926
4,0,5,2.614
4,1,5,10.514
4,2,5,-4.409
4,3,5,-11.196
4,4,5,-11.133
4,5,5,-2.971
4,6,5,-5.726
4,7,5,-2.295
4,8,5,5.291
4,9,5,-11.170
4,10,5,7.326
4,11,5,6.623
4,12,5,-10.024
4,13,5,-3.070
4,14,5,-4.188
5,0,5,-11.408
5,1,5,-4.697
5,2,5,3.635
5,3,5,-7.995
5,4,5,-4.620
5,5,5,3.508
5,6,5,11.323
5,7,5,6.120
5,8,5,4.708
5,9,5,-2.175
5,10,5,-9.410
5,11,5,4.511
5,12,5,3.933
5,13,5,-6.286
5,14,5,-3.421
6,0,5,-6.234
6,1,5,5.343
6,2,5,-5.036
6,3,5,1.999
6,4,5,-9.978
6,5,5,-9.489
6,6,5,-10.131
6,7,5,11.803
6,8,5,-2.212
6,9,5,-3.263
6,10,5,3.816
6,11,5,-10.513
6,12,5,6.489
6,13,5,10.236
6,14,5,-3.655
7,0,5,9.993
7,1,5,-3.914
7,2,5,-11.842
7,3,5,-3.069
7,4,5,8.055
7,5,5,-9.574
7,6,5,-8.408
7,7,5,5.620
7,8,5,-4.834
7,9,5,10.603
7,10,5,-7.833
7,11,5,2.901
7,12,5,4.318
7,13,5,-10.957
7,14,5,3.111
8,0,5,6.831
8,1,5,-5.385
8,2,5,-4.285
8,3,5,-10.367
8,4,5,-3.324
8,5,5,-2.498
8,6,5,6.101
8,7,5,-11.769
8,8,5,7.482
8,9,5,-3.201
8,10,5,7.961
8,11,5,8.745
8,12,5,-5.513
8,13,5,-10.881
8,14,5,8.977
9,0,5,-6.613
9,1,5,-8.962
9,2,5,3.567
9,3,5,6.664
9,4,5,3.471
9,5,5,-2.592
9,6,5,-2.631
9,7,5,-5.230
9,8,5,-6.509
9,9,5,-6.842
9,10,5,9.567
9,11,5,10.744
9,12,5,5.070
9,13,5,3.624
9,14,5,-10.590
10,0,5,-5.903
10,1,5,-2.302
10,2,5,5.662
10,3,5,-7.453
10,4,5,4.685
10,5,5,8.629
10,6,5,2.417
10,7,5,7.833
10,8,5,-10.262
10,9,5,8.779
10,10,5,9.013
10,11,5,5.141
10,12,5,1.994
10,13,5,2.006
10,14,5,11.473
11,0,5,-4.776
11,1,5,9.470
11,2,5,-4.179
11,3,5,3.532
11,4,5,-4.764
11,5,5,3.143
11,6,5,5.261
11,7,5,-3.718
11,8,5,2.030
11,9,5,-9.283
11,10,5,-5.540
11,11,5,6.752
11,12,5,10.590
11,13,5,11.255
11,14,5,-11.444
12,0,5,-8.348
12,1,5,3.341
12,2,5,10.265
12,3,5,2.214
12,4,5,3.299
12,5,5,3.610
12,6,5,-8.785
12,7,5,-7.671
12,8,5,-4.390
12,9,5,-6.063
12,10,5,10.939
12,11,5,-6.728
12,12,5,-3.855
12,13,5,10.174
12,14,5,4.522
13,0,5,6.042
13,1,5,-9.940
13,2,5,5.978
